Наименование,Дата изготовления,Срок годности до ,14.01.19,Информация,Спрятано?,_,_
"Колбаса варено-копченая из мяса птицы мясная ""Салями Италия"" первого сорта (охлажденная) 0,38кг потр",11.12.18,05.01.19,,,,,
"Паштет из мяса птицы вареный ""Классический"" (охлажденный) 0,18кг ()",06.12.18,06.01.19,,,1,,
Продукт из мяса птицы Ветчина вареная рубленая Балерон мясосодержащая (охлажденная) (),28.11.18,28.01.19,,,,,
Продукт из мяса птицы Ветчина вареная рубленая Диетическая мясосодержащая (охлажденная)0,26.09.18,26.11.18,,списали,1,,
Продукт из мяса птицы ветчина вареная рубленая Европейская мясосодержащая (охлажденная) потр/уп вак ,05.12.18,01.01.19,,,1,,
"Продукт из мяса птицы Рулет ""Руляда Деревенская"" копчено-вареный высшего сорта охлажденный, упакован",14.11.18,14.12.18,,,1,,
"Продукт из мяса птицы. Ветчина вареная рубленая ""Балерон"" мясосодержащая (охлажденная) 0,47кг ()",16.10.18,16.12.18,,,1,,
Продукт из мяса птицы Рулет Ландграф копчено-вареный высшего сорта охлажденный,27.11.18,27.12.18,,,1,,
Продукт из мяса птицы Рулет Ландграф прянный копчено-вареный высшего сорта охлажденный,28.11.18,28.12.18,,,1,,
Продукт мясной слоеный вареный ветчина Медвежье ухо (охлажденный) потр/уп вак (),12.12.18,11.01.19,,,,,
Сардельки вареные из мяса птицы «Ароматные городские» бессортовые охлажденные (),10.12.18,25.01.19,,,,,
"Сардельки из мяса птицы ""С сыром"" высшего сорта (охлажденные) потр/уп газ ()",14.11.18,14.12.18,,,1,,
"Сардельки из мяса птицы ""Экстра"" высшего сорта (охлажденные) тр/уп газ ()",14.11.18,14.12.18,,,1,,
"Сосиски вареные из мяса птицы ""Ароматные городские"" бессортовые охлажденные тр/уп ()",05.12.18,10.01.19,,,,,
"Сосиски вареные из мяса птицы «Карапузики» высшего сорта охлажденные,кг",07.11.18,07.12.18,,,1,,
"Сосиски вареные из мяса птицы ""Карапузики высшего сорта охлажденные,380гр.",07.11.18,07.12.18,,,1,,
"Сосиски вареные из мяса птицы «Карапузики» высшего сорта охлажденные,550гр",05.12.18,05.01.19,,,,,
"Сосиски из мяса птицы ""Берлинки"" высшего сорта(охлажденные) 0,4кг потр/уп газ ()",28.11.18,28.12.18,,,,,
Сосиски мясные из мяса птицы Венские высшего сорта (охлажденные) 0,06.12.18,02.01.19,,,,,
Сосиски мясные из мяса птицы Мишутка Классические высшего сорта (охлажденные) 0,05.12.18,01.01.19,,,,,
Сосиски мясные из мяса птицы Мишутка с сыром высшего сорта (охлажденные) 0,12.12.18,04.01.19,,,,,
САВВА,,,,,,,
Балык свиной сыровяленый нарезка 150 гр  ( упаковано в плен. мат-лы под вакуумом) шт,04.12.18,04.03.19,,,,,
Бекон свиной сыровяленый нарезка 150 гр шт (упаковано в плен. мат-лы под вакуумом,04.12.18,04.03.19,,,,,
Колбаса вар-Народная 1000 гр 1+1 шт,03.12.18,13.01.19,,,,,
Колбаса вар-Народная со шпиком 1000 гр 1+1 шт,11.12.18,11.02.19,,,,,
Колбаса вар-Телячья особая 900 гр ШТ,24.11.18,24.01.19,,,,,
Колбаса п/к- Белорусская 600гр ШТ 1+1 (упаковано в плен.мат-лы под вакуумом),03.12.18,01.02.19,,,,,
Колбаса сырокопченая Коньячная 90гр шт (упаковано в плен. мат-лы в модифиц.атмосфере),23.09.18,22.11.18,,,1,,
Колбаса сырокопченая Миланская(собств.пр-во) (упаковано в плен. мат-лы под вакуумом),16.10.18,16.06.19,,,,,
Колбаса сырокопченая Флоренция (собств. пр-во) (упаковано в плен. мат-лы под вакуумом)(кг),16.10.18,16.06.19,,,,,
Колбаса Охотские колбаски 540гр,04.12.18,19.01.19,,,,,
Сосиски Куриные Чикен 620гр ШТ 1+1 (упаковано в плен.мат-лы в модифиц.атмосфере),04.12.18,15.01.19,,,,,
"Сосиски мясные категории Б ""Рубленые с сыром"" 420 гр ШТ (упаковано в плен. мат-лы в модифиц. атмосфе",30.10.18,14.12.18,,,1,,
"Сосиски мясные категории Б ""Рубленые"" 420 гр ШТ(упаковано в плен.мат-лы в модифиц.атмосфере)шт",30.10.18,14.12.18,,,1,,
КОЗЕЛКИ,,,,,,,
Пралине колбаски с/к 100гр в/,24.10.18,22.01.19,,,,,
Парижский сервелат с/к в/у,24.10.18,21.02.19,,,,,
с/к Чоризо в/у,24.10.18,21.02.19,,,,,
Северная Венеция с/к в/у,24.10.18,21.02.19,,,,,
Фестивальная с/к в/у,24.10.18,21.01.19,,,,,
ОСТАНКИНО,,,,,,,
"Мясная Папа может вар п/о 0,5кг 8шт",22.12.18,20.02.19,,,,,
"Мясная со шпиком вар п/о 0,5кг 8шт",23.12.18,21.02.19,,,,,
"Филейная Папа может вар п/о 0,5кг 8шт",18.12.18,16.02.19,,,,,
Мясная Папа может вар п/о ,21.11.18,20.01.19,,,,,
Филейная Папа может вар п/о,29.11.18,28.01.19,,,,,
"КАЗАЧЬЯ п.к, б,о мгс 0,33кг 9шт",18.12.18,01.02.19,,,,,
Экстра с/к в/у колбаса,09.12.18,08.04.19,,,,,
"Мясная Папа может сос п/о в/у 0,4кг 8шт",06.01.19,05.02.19,,,,,
Говяжьи без свинины сос п/о мгс 2*2,22.12.18,21.01.19,,,,,
Гриль мастер сос п.о мгс 2*2,01.12.18,31.12.18,,,1,,
"Гриль мастер сосиски п.о мгс 0,45кг 10шт",22.12.18,21.01.19,,,,,
Молочные традиц. Сос.п/о мгс 2*4,23.11.18,23.12.19,,,1,,
Мясные Папа может сос п/о мгс 2*2,02.01.19,01.02.19,,,,,
Сочные сос п/о мгс 1*6,03.01.19,02.02.19,,,,,
Сливочные папа может сос п/о 2*2,27.11.18,27.12.18,,,1,,
"Сливочные ПМ сос 0,450кг",28.11.18,28.12.18,,,1,,
МЯСНАЯ СО ШПИКОМ папа может вар п/о,23.11.18,22.01.19,,,,,
"ГРИЛЬ МАСТЕР сосиски п/о 0,45кг",29.11.18,29.12.18,,,1,,
МОЛОЧНЫЕ ТРАДИ. Сос. 1.6,21.12.19,20.01.19,,,,,
"МЯСНЫЕ Папа может сос 0,4кг",02.12.18,01.01.19,,,1,,
"СОЧНЫЕ сос мгс.0,45кг",,,,,,,
